first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Lewis,Cook,0,0,,,155408,0,0,-1,1,3.8,0,3,1.8,1.3,3,1.8,11,0,4.0,67,False,34.8,292,,,49,0,0,0,155408.jpg,0,0,0.1,False,,a,3,91,0.0,9,1464,172,3093,161,0.4,1.8,Cook,0,1.8
Ben,Pearson,0,0,75,75,156687,0,0,0,0,2.5,0,3,0.9,0.5,0,1.2,7,0,2.4,68,False,13.8,210,Knock - 75% chance of playing,2022-08-27T20:00:06.364295Z,45,0,0,0,156687.jpg,0,0,0.4,False,,d,3,91,7.0,6,49999,71,41877,2956,0.3,1.3,Pearson,1,1.5
Ryan,Christie,0,0,,,158499,0,0,-1,1,15.5,0,3,1.6,1.1,3,1.6,8,0,5.7,69,False,27.2,221,,,54,0,0,0,158499.jpg,0,0,0.1,False,,a,3,91,14.0,8,818,98,3721,162,0.3,1.5,Christie,0,1.6
Philip,Billing,0,0,,,168991,0,0,-2,2,38.1,0,3,1.8,1.3,3,1.8,8,0,9.8,70,False,51.6,301,,,53,0,0,0,168991.jpg,0,0,0.1,False,,a,3,91,8.0,9,1699,153,9082,313,0.3,1.7,Billing,1,1.8
Chris,Mepham,0,4,,,223911,0,0,-1,1,1.1,0,2,2.2,1.7,8,2.2,15,0,10.8,71,False,89.4,441,,,44,1,0,0,223911.jpg,0,0,0.1,False,,a,3,91,17.0,11,4346,472,6253,278,0.5,2.5,Mepham,2,2.2
Mark,Travers,0,0,,,229600,0,0,0,0,0.0,0,1,1.6,1.1,0,1.6,16,0,10.4,72,False,103.4,360,,,45,0,0,0,229600.jpg,0,13,0.5,False,,a,3,91,0.0,8,20660,279,23557,1357,0.4,1.8,Travers,0,2.0
Lloyd,Kelly,1,3,100,75,235530,0,0,0,0,29.4,1,2,3.8,2.5,6,3.8,7,0,14.4,73,False,112.0,360,,2022-08-27T20:00:06.374554Z,45,0,0,0,235530.jpg,0,0,1.0,False,,a,3,91,2.0,19,87358,1497,91730,4790,0.8,4.2,Kelly,0,4.8
Siriki,Dembélé,0,0,,,244085,0,0,-2,2,0.0,0,3,0.0,-0.5,0,0.0,0,0,0.0,74,False,0.0,0,,,48,0,0,0,244085.jpg,0,0,0.1,False,,a,3,91,0.0,0,1475,146,5723,300,0.0,0.0,Dembélé,0,0.0
Jaidon,Anthony,0,0,,,444180,0,0,-2,2,3.4,0,3,0.8,0.3,1,0.8,10,0,2.3,75,False,12.6,139,,,53,0,0,0,444180.jpg,0,0,0.1,False,,a,3,91,7.0,4,1407,100,5514,214,0.2,0.8,Anthony,0,1.3
Jordan,Zemura,0,0,100,100,447932,0,0,-1,1,28.5,0,2,2.0,1.5,6,2.0,12,0,9.6,76,False,59.8,338,,2022-08-14T00:00:05.742682Z,44,0,0,0,447932.jpg,0,0,0.1,False,,a,3,91,8.0,10,7077,542,10277,347,0.5,2.3,Zemura,1,2.5
Will,Dennis,0,0,,,444172,0,0,0,0,0.0,0,1,0.0,-0.5,0,0.0,0,0,0.0,77,False,0.0,0,,,40,0,0,0,444172.jpg,0,0,0.6,False,,a,3,91,0.0,0,8577,438,14550,984,0.0,0.0,Dennis,0,0.0
Joe,Rothwell,0,0,0,0,156685,0,0,-1,1,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,505,False,0.0,0,Thigh injury - Expected back 17 Sep,2022-07-31T23:30:04.384595Z,49,0,0,0,156685.jpg,0,0,0.0,False,,i,3,91,0.0,0,186,4,506,14,0.0,0.0,Rothwell,0,0.0
Marcus,Tavernier,0,0,,,201658,-1,1,-1,1,121.2,0,3,2.4,1.9,3,2.4,16,0,20.1,535,False,47.4,434,,,49,0,0,0,201658.jpg,0,0,0.1,False,,a,3,91,33.0,12,6744,587,7000,428,0.5,2.4,Tavernier,0,2.4
James,Hill,0,0,,,463981,0,0,0,0,0.0,0,2,0.0,-0.5,0,0.0,0,0,0.0,539,False,0.0,0,,,45,0,0,0,463981.jpg,0,0,0.0,False,,a,3,91,0.0,0,614,101,1737,137,0.0,0.0,Hill,0,0.0
Norberto,Murara Neto,0,0,,,69752,0,0,0,0,0.0,1,1,1.5,1.0,6,1.5,0,0,2.3,574,False,23.4,90,,,45,0,0,0,69752.jpg,0,3,0.1,False,,a,3,91,0.0,6,3388,838,3035,302,0.3,1.3,Neto,1,6.0
Marcos,Senesi,0,0,,,221466,0,0,0,0,0.3,0,2,-0.2,-0.7,0,-0.2,11,0,3.0,576,False,30.0,145,,,45,0,0,0,221466.jpg,0,0,0.0,False,,a,3,91,0.0,-1,1103,61,981,114,0.0,-0.2,Senesi,0,-0.3
Christian,Saydee,0,0,,,461017,0,0,0,0,0.0,0,4,0.0,-0.5,0,0.0,0,0,0.0,597,False,0.0,0,,,45,0,0,0,461017.jpg,0,0,0.1,False,,a,3,91,0.0,0,4370,1205,1111,587,0.0,0.0,Saydee,0,0.0
Owen,Bevan,0,0,,,518906,0,0,0,0,0.0,0,2,0.5,0.0,0,0.5,1,0,0.0,598,False,0.2,8,,,40,0,0,0,518906.jpg,0,0,0.1,False,,a,3,91,0.0,1,4235,1017,872,351,0.1,0.2,Bevan,0,1.0
Pontus,Jansson,0,0,50,50,61810,-1,1,-1,1,0.7,0,2,1.1,0.8,0,1.6,5,0,5.6,78,False,52.6,270,Foot injury - 50% chance of playing,2022-08-27T20:00:06.384857Z,44,0,0,0,61810.jpg,0,0,1.2,False,,d,4,94,2.0,8,28375,64,103725,9865,0.4,1.8,Jansson,0,2.7
Christian,Nørgaard,0,1,,,128295,0,0,0,0,29.9,0,3,3.5,3.0,0,3.0,6,1,17.8,79,False,75.8,309,,,55,0,0,0,128295.jpg,0,0,0.4,False,,a,4,94,73.0,15,23704,930,19987,2541,0.5,2.7,Nørgaard,0,3.8
